
Project								Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time
				BB17-HS0002-00				BB17-HS0002-00	SHCS HEX, #12-24UNCX0,625, 316SH	DepReq	POitem	         4501744840	                 190	-4	              8			06.04.2023	10.05.2023	P02	            10458369		BC5	EA	            216
				BB18-HS0017-39				BB18-HS0017-39	ANTI-ROTATION KEY, HYBRID PENETRATOR	DepReq	POitem	         4501732738	                  50	-1	              2			06.12.2022	10.05.2023	P02	            10458369		BC3	EA	            200
				10112193				10112193	EFS, HXT, HPEN, DMR	DepReq	POitem	         4501739864	                  20	-1	              2			17.05.2023	10.05.2023	P02	            10458369		J96	EA	            342
				10036161				10036161	SHCS HEX, M8x1 X25, 718	DepReq	POitem	         4501744840	                 220	-10	             20			25.04.2023	10.05.2023	P02	            10458369		BC5	EA	            232
				10056011				10056011	TAG SIGN, 50x100x1mm, 316 SS	DepReq	PurRqs	           17100696	                  10	-1	            100	16.09.2022		17.03.2023	10.05.2023	P02	            10458369		BC5	EA	            180
				10132060				10132060	TUBE WLDMT,1/4 NATIONAL CPLG,W/ POPPET	DepReq	PldOrd	          112501547		-7	              7	22.03.2023	20.04.2023	10.05.2023	10.05.2023	P02	            10458369	           10		EA

					BB17-HS0003-52			BB17-HS0003-52	OBSOLETE. USE MN BS0001104	DepReq	PurRqs	           17575088	                  10	-7	             14	12.06.2025		05.01.2026	20.04.2023	P02	            10459307		BC5	EA	            180
					BB17-HS0000-28			BB17-HS0000-28	ASSEMBLY,COUPLER,NATIONAL COUPLER, 3/8 T	DepReq	POitem	         4501742759	                  40	-7	             14			06.04.2023	20.04.2023	P02	            10459307		BC0	EA	            206
					BS0001000			BS0001000	GL ASSY ANTI VIB 3/8 MP KCBGLX60-SDX-NSK	DepReq	PurRqs	           17520801	                  10	-7	             16	18.10.2022		26.04.2023	20.04.2023	C02	            10459307		B02	EA	            163
					10036065			10036065	COILED HELIX FOR 1/4" NATIONAL COUPLING	DepReq	PurRqs	           17523375	                  10	-7	             14	26.10.2022		15.04.2023	20.04.2023	P02	            10459307	           10	BC0	EA	            180
					BS0001104			BS0001104	ADPTR, MP3/8"M X BW 3/8"WT.083, 2507	DepReq	PurRqs	           17089143	                  10	-7	             16	30.08.2022		17.03.2023	20.04.2023	P02	            10459307		BC5	EA	            197

				10132061				10132061	TUBE WLDMT,1/4 NATIONAL CPLG,W/O POPPET	DepReq	PurRqs	           17564415	                  10	-1	              2	26.10.2022		19.04.2023	10.05.2023	P02	            10458369	           10	BC5	EA

					BB15-HS0003-02			BB15-HS0003-02	NATIONAL CPLG 1/4" RS SERIES W/O POPPET	SubReq	POitem	         4501742759	                  30	-2	              2			31.03.2023	26.10.2022	P02	            10433343		BC0	EA	            206
					BS0001000			BS0001000	GL ASSY ANTI VIB 3/8 MP KCBGLX60-SDX-NSK	SubReq	PurRqs	           17520801	                  10	-2	             16	18.10.2022		26.04.2023	26.10.2022	C02	            10433343		B02	EA	            163
					10036304			10036304	COILED HELIX FOR 1/4 NATIONAL COUPLING	SubReq	PurRqs	           17088312	                  10	-2	              2	20.10.2022		19.03.2023	26.10.2022	P02	            10433343	           10	BC0	EA	            150
					BS0001104			BS0001104	ADPTR, MP3/8"M X BW 3/8"WT.083, 2507	SubReq	PurRqs	           17089143	                  10	-2	             16	30.08.2022		17.03.2023	26.10.2022	P02	            10433343		BC5	EA	            197

				10112197				10112197	EFS, HXT, HPEN, WMP	DepReq	POitem	         4501739864	                  30	-1	              2			17.05.2023	10.05.2023	P02	            10458369		J96	EA	            189
				10021544				10021544	EFS, HXT, HPEN, FLEX. STAND	DepReq	POitem	         4501739864	                  10	-1	              2			17.05.2023	10.05.2023	P02	            10458369		J96	EA	            189
				BB17-HS0004-15				BB17-HS0004-15	SCREW 12PT, 3/8-16UNRC  x  3.75", L7M	DepReq	POitem	         4501744840	                 140	-2	              4			05.04.2023	10.05.2023	C03	            10458369		BC5	EA	            216
				BB18-HS0023-86				BB18-HS0023-86	F/M BONNET, HYBRID PENETRATOR	DepReq	POitem	         4501734536	                  60	-1	              2			12.04.2023	10.05.2023	P02	            10458369		BC3	EA	            200

			10134983					10134983	CAPACITIVE LEAK DETECTOR (CLD)	DepReq	PurRqs	           17580915	                  10	-1	              1	03.11.2022		26.05.2023	26.05.2023	P02	            10457936		BA1	EA	            180
			10143995					10143995	HYDRAULIC COMPONENTS	DepReq	PldOrd	          112501521		-1	              1	10.04.2023	10.05.2023	26.05.2023	26.05.2023	P02	            10457936	           10	BC5	EA

				BB26-MX0001-18				BB26-MX0001-18	Obsolete – use M/N BS0000917	DepReq				-36					10.05.2023	P02	            10458596		BC5	M	            180
				BS0000928				BS0000928	TUBE 3/4" ODX.156 WT MP MS15-095	DepReq	ProjSt			-15					10.05.2023	C02	            10458596		M25	M	            202
				BS0000930				BS0000930	TUBE 3/8 ODx.049 WT 2507-T6-S-049-20-NOR	DepReq	POitem	         4501741818	                  20	-15	             45			24.01.2023	10.05.2023	P02	            10458596		BC5	M	             10
				BS0000933				BS0000933	TUBE5/8 ODx.083 WT2507-T10-S-083-6ME-NOR	DepReq	PurRqs	           16431741	                  10	-20	             60	04.07.2022		24.01.2023	10.05.2023	P02	            10458596		BC5	M	            180
				BS0000934				BS0000934	TUBE 3/4ODx.095 WT2507-T12-S-095-6ME-NOR	DepReq	PurRqs	           16433919	                  10	-30	             80	04.07.2022		24.01.2023	10.05.2023	C02	            10458596		BC5	M	            217
				BS0000889				BS0000889	COLLAR 3 8  MP F CCLX60	DepReq	PurRqs	           17581268	                  10	-134	            134	16.12.2022		10.05.2023	10.05.2023	C02	            10458596		B01	EA	            121
				BS0000890				BS0000890	COLLAR 9/16" MP(F) CCLX90	DepReq	PurRqs	           17567348	                  10	-16	             22	26.10.2022		19.04.2023	10.05.2023	C02	            10458596		VJ1	EA	            186
				BS0000891				BS0000891	COLLAR 3/4" MP(F) CCLX120	DepReq	PurRqs	           17567878	                  10	-8	             14	26.10.2022		19.04.2023	10.05.2023	C02	            10458596		VJ1	EA	            186
				BS0000783				BS0000783	ADPTR 9/16 MP(M) x 3/8 MP(F) 20M96K6	DepReq	PurRqs	           17567571	                  10	-10	             19	26.10.2022		19.04.2023	10.05.2023	C02	            10458596		VJ1	EA	            202
				BS0000835				BS0000835	TEE 3/8 MP(F) CTX6660	DepReq	PurRqs	           17567551	                  10	-6	             12	26.10.2022		19.04.2023	10.05.2023	C02	            10458596		B02	EA	            210
				BS0000940				BS0000940	TEE 5/8", 2507-GBW10K8-3	DepReq	PurRqs	           17564427	                  10	-2	              4	26.10.2022		19.04.2023	10.05.2023	P02	            10458596		BC5	EA	             10
				BS0000942				BS0000942	TEE, 3/4", 2507-GBW12L8-3	DepReq	PurRqs	           17564471	                  10	-2	              4	26.10.2022		19.04.2023	10.05.2023	P02	            10458596		BC5	EA	             10
				BS0000921				BS0000921	ADPTR 1/4 NPT(M) x 3/8 MP(F) 15M46N6-WO	DepReq	PurRqs	           17583986	                  10	-3	            200	28.10.2022		14.06.2023	10.05.2023	P02	            10458596		G17	EA	            202
				BS0000853				BS0000853	RV 1/2 NPT(M)x1/2 NPT(F) SS-R4M8F8	DepReq	PurRqs	           17564511	                  10	-1	              2	26.10.2022		19.04.2023	10.05.2023	P02	            10458596		BC5	EA	            100
				BS0000945				BS0000945	CV 1/4 NPT(M) x 1/4 NPT(M) SS-CHM4-1	DepReq	PurRqs	           17567385	                  10	-1	              2	26.10.2022		19.04.2023	10.05.2023	P02	            10458596		BC5	EA	            190
				BS0000922				BS0000922	ADPTR 1/2 NPT(M) x 3/8 MP(F) 15M86N6-WO	DepReq	PurRqs	           17583971	                  10	-2	             50	28.10.2022		14.06.2023	10.05.2023	P02	            10458596		G17	EA	            202
				BS0000840				BS0000840	CPLG 1/4 NPT(F) x SF375CX(F) 15F4686	DepReq	PurRqs	           17583887	                  10	-1	              1	28.10.2022		14.06.2023	10.05.2023	P02	            10458596		BC5	EA	            202
				BB7919077				BB7919077	Obsolete use  MN [BS0001070]	DepReq				-1					10.05.2023	P02	            10458596		BC5	EA	            180
				BB7902464				BB7902464	OBSOLETE. USE MN BS0001071	DepReq	PurRqs	           17567327	                  10	-1	              2	26.10.2022		19.04.2023	10.05.2023	P02	            10458596		BC5	EA	            180
				10117914				10117914	BLOCK, RETURN MANIFOLD 1	DepReq	POitem	         4501737793	                  40	-1	              2			01.02.2023	10.05.2023	M01	            10458596	           30	BC3	EA	            152
				BS0000926				BS0000926	FLTR 9/16 MP(F) x 9/16 MP(F) CXF9-5-WO	DepReq	PurRqs	           17492149	                  10	-1	              4	19.10.2022		03.04.2023	10.05.2023	C02	            10458596		VJ1	EA	            202
				BS0000903				BS0000903	CV 3/8 MP(F) x 3/8 MP(F) CXO6600-100-WO	DepReq	PurRqs	           17567336	                  10	-1	              2	26.10.2022		19.04.2023	10.05.2023	C02	            10458596		B02	EA	            210
				BS0000902				BS0000902	CV 3 8 MP F x 3 8 MP F CXO6600 50 WO	DepReq	PurRqs	           17567341	                  10	-1	              2	26.10.2022		19.04.2023	10.05.2023	C02	            10458596		B02	EA	            184
				10117915				10117915	BLOCK, RETURN MANIFOLD 2	DepReq	POitem	         4501737793	                  30	-1	              2			01.02.2023	10.05.2023	M01	            10458596	           30	BC3	EA	             96
				BS0000907				BS0000907	GL ASSY ANTI VIB 3/8 MP KCBGLX60-316MC	DepReq	ShpgNt	         4501743340	                  20	-140	            800			14.04.2023	10.05.2023	B15	            10458596		BC5	EA	            202
				BS0000909				BS0000909	GL ASSY ANTI VIB 9/16 MP KCBGLX90-316MC	DepReq	PurRqs	           17567396	                  10	-21	             37	26.10.2022		19.04.2023	10.05.2023	C02	            10458596		VJ1	EA	            202
				BS0000936				BS0000936	ADPTR, MP9/16"MXBW1/2"WT.065, 2507	DepReq	PurRqs	           17564423	                  10	-5	             10	26.10.2022		19.04.2023	10.05.2023	P02	            10458596		BC5	EA
				BS0000937				BS0000937	REDUCER 5/8"TBG.083x1/2" TBG.065-NOR-SG2	DepReq	PurRqs	           17564443	                  10	-5	             10	26.10.2022		19.04.2023	10.05.2023	P02	            10458596		BC5	EA	             10
				BS0001018				BS0001018	REDUCER, 5/8"TBG.083X3/8" TBG.049, 2507	DepReq	PurRqs	           17564435	                  10	-3	              6	26.10.2022		19.04.2023	10.05.2023	P02	            10458596		BC5	EA
				BS0000938				BS0000938	ADPTR, MP3/4"MX BW 3/4"WT.095", 2507	DepReq	PurRqs	           17564419	                  10	-9	             18	26.10.2022		19.04.2023	10.05.2023	P02	            10458596		BC5	EA
				BS0000962				BS0000962	REDUCER, 3/4"TBG.095X3/8" TBG.049", 2507	DepReq	PurRqs	           17564429	                  10	-3	              6	26.10.2022		19.04.2023	10.05.2023	P02	            10458596		BC5	EA	             10
				BS0000935				BS0000935	ADPTR, MP3/8"MX BW3/8"WT.049, 2507	DepReq	PurRqs	           17564437	                  10	-6	             12	26.10.2022		19.04.2023	10.05.2023	P02	            10458596		BC5	EA
				BS0000772				BS0000772	ADPTR 3 8 MP M x 3 4 MP F 20M612K6	DepReq	PurRqs	           17567390	                  10	-1	              2	26.10.2022		19.04.2023	10.05.2023	C02	            10458596		B02	EA	            210
				BS0000912				BS0000912	GL ASSY ANTI VIB 3/4 MP KCBGLX120-316MC	DepReq	PurRqs	           17568270	                  10	-17	             29	26.10.2022		19.04.2023	10.05.2023	C02	            10458596		VJ1	EA	            202
				BS0000917				BS0000917	TUBE 9/16 ODx.125 WT MP MS15-085	DepReq	PurRqs	           17134640	                  10	-36	            112	26.10.2022		19.04.2023	10.05.2023	C02	            10458596		VJ1	M	            202
				BS0001070				BS0001070	TEE 1/4 MMO-SS FEM PIPE	DepReq	PurRqs	           17567357	                  10	-1	              2	26.10.2022		19.04.2023	10.05.2023	P02	            10458596		BC5	EA	            197
				BS0001071				BS0001071	CONNECTOR, 1/2" X 1/4"-FG-SS	DepReq	PurRqs	           17567353	                  10	-1	              2	26.10.2022		19.04.2023	10.05.2023	P02	            10458596		G17	EA	            202
				BS0000916				BS0000916	TUBE 3/8 ODx.086 WT MP MS15-093	DepReq	ShpgNt	         4501738610	                  10	-285	            212			17.10.2022	10.05.2023	C02	            10458596		M25	M	            135

			10143892					10143892	EFL (OF) 4W_STAB_R(FL)/ROV_R(FM) L=7m	DepReq	PurRqs	           17580919	                  10	-1	              1	03.05.2023		26.05.2023	26.05.2023	P02	            10457936		BC5	EA
			10144030					10144030	EFL (OF) 4W_ROV_P(FM) / DEUTSCH_P L=3m	DepReq	PurRqs	           17580921	                  10	-1	              1	03.05.2023		26.05.2023	26.05.2023	P02	            10457936		BC5	EA
			BB11-KS0638-10					BB11-KS0638-10	RIMS CROSS-OVER 22 WAY 17 POP	DepReq	PurRqs	           17580933	                  10	-1	              1	03.05.2023		26.05.2023	26.05.2023	P02	            10457936		BC5	EA
			10155332					10155332	PARKING PANEL ROOF	DepReq	PurRqs	           16929095	                  10	-1	              2	06.10.2022		19.04.2023	26.05.2023	P02	            10457936		BC4	EA	            170
			10356679					10356679	DUAL PTT  SENSOR, PRODUCTION	DepReq	PurRqs	           17564394	                  10	-1	              2	26.10.2022		19.04.2023	26.05.2023	P02	            10457936		BC5	EA
			10141522					10141522	DOWNHOLE INTERFACE UNIT (DIU) - STATOIL	DepReq	PurRqs	           17580923	                  10	-1	              1	03.05.2023		26.05.2023	26.05.2023	P02	            10457936		BC5	EA
			BB17-MX0103-14					BB17-MX0103-14	BOLT HEX, M8 x 45, A4-80	DepReq	PurRqs	           16935921	                  10	-4	              8	19.08.2022		19.04.2023	26.05.2023	P02	            10457936		BC5	EA	            232
			BB17-MX0020-30					BB17-MX0020-30	NUT HEX, M8, A4-80	DepReq	PurRqs	           16940001	                  10	-8	             48	26.10.2022		19.04.2023	26.05.2023	L02	            10457936		BC5	EA	            202
			10144968					10144968	HYDRAULIC COUPLER 28MM BLIND	DepReq	PurRqs	           16935871	                  10	-4	              8	26.09.2022		19.04.2023	26.05.2023	P02	            10457936		BC3	EA	             10
			BB17-MX0034-46					BB17-MX0034-46	CIRCLIP-RING DIAM.46	DepReq	ShpgNt	         4501741698	                  20	-4	             32			07.12.2022	26.05.2023	M01	            10457936		BC3	EA	            180
			10108705					10108705	SHCS HEX, M8X60, A4-80	DepReq	PurRqs	           16940986	                  10	-4	             16	19.08.2022		19.04.2023	26.05.2023	P01	            10457936		BC5	EA	            150
			10155213					10155213	Cable hanger ROV panel	DepReq	PurRqs	           16928550	                  10	-1	              2	19.08.2022		19.04.2023	26.05.2023	P02	            10457936		BC4	EA
			10143917					10143917	EFL (OF) 12W_ROV_P / ROV_R L=6.5m	DepReq	PldOrd	          112501523		-2	              2	10.04.2023	10.05.2023	26.05.2023	26.05.2023	P02	            10457936	           10	BC5	EA
			10159602					10159602	Bracket Indicator Rod	DepReq	POitem	         4501742465	                  20	-2	              4			19.04.2023	26.05.2023	P02	            10457936		BC4	EA	             10
			BB15-MX0001-68					BB15-MX0001-68	SHACKLE, 17 T CERTEX, TYPE H OFFSHORE	DepReq	PurRqs	           16935165	                  10	-12	             24	19.08.2022		19.04.2023	26.05.2023	L01	            10457936		BC0	EA	            266
			10147194					10147194	ELEC CONN ROV UNIVERSAL PARKING 4/7/12W	DepReq	POitem	         4501745437	                  30	-4	             16			01.02.2023	26.05.2023	P02	            10457936		BA1	EA
			10147231					10147231	ELEC CONN RCPT 12W PARKING FOR PLUGS	DepReq	POitem	         4501745437	                  20	-5	             10			01.02.2023	26.05.2023	P02	            10457936		BC5	EA
			10072414					10072414	SCREW SKT, CSK, M10 x 40, A4-80	DepReq	PurRqs	           16936177	                  10	-3	              6	19.08.2022		19.04.2023	26.05.2023	P02	            10457936		BC5	EA	             10
			BB17-MX0071-24					BB17-MX0071-24	SCREW HEX, M24 x 80, L7	DepReq	POitem	         4501744929	                  30	-4	              8			19.04.2023	26.05.2023	P02	            10457936		BC5	EA	             10
			BB20-MX0055-01					BB20-MX0055-01	O-RING, 39,5x3, NBR70A	DepReq	PurRqs	           16936213	                  10	-4	             36	29.09.2022		19.04.2023	26.05.2023	C02	            10457936		TS9	EA	            220
			10230663					10230663	SCREW HEX, M20 x 75,L7	DepReq	POitem	         4501744929	                  20	-28	             56			19.04.2023	26.05.2023	P02	            10457936		BC5	EA
			BB17-MX0100-07					BB17-MX0100-07	SCREW SKT, CSK, M10 x 60, A4-80	DepReq	POitem	         4501744840	                  70	-4	              8			19.04.2023	26.05.2023	P01	            10457936		BC5	EA	            232
			BB17-MX0083-12					BB17-MX0083-12	NUT HEX, LOCK, M12, 7	DepReq	PurRqs	           17581078	                  10	-4	              4	28.10.2022		14.06.2023	26.05.2023	P01	            10457936		BC5	EA	            202
			BB17-MX0083-24					BB17-MX0083-24	NUT HEX, LOCK,  M10, A4-80	DepReq	POitem	         4501744840	                  40	-7	             14			19.04.2023	26.05.2023	P01	            10457936		BC5	EA	            202
			BS0000573					BS0000573	NUT HEX, M30, 7, ELZN	DepReq	PurRqs	           16936450	                  10	-4	             16	19.08.2022		19.04.2023	26.05.2023	P01	            10457936		BC5	EA	            176
			10287684					10287684	BOLT HEX, M30 x 240, L7	DepReq	POitem	         4501744840	                  30	-4	              8			19.04.2023	26.05.2023	P02	            10457936		BC5	EA
			10147348					10147348	Counterweights XMT	DepReq	PurRqs	           16929097	                  10	-1	              2	19.08.2022		19.04.2023	26.05.2023	P02	            10457936		BC8	EA
			10178779					10178779	ROV OP. CABLE HARNESS	DepReq	PldOrd	          112501517		-1	              2	10.04.2023	10.05.2023	26.05.2023	26.05.2023	P02	            10457936	           10	BC5	EA	             30

				10178757				10178757	BRACKET WITH ANODE, ROVOP. CABLE HARNESS	DepReq	PurRqs	           17580928	                  10	-2	              2	13.04.2023		10.05.2023	10.05.2023	P02	            10458371		BC5	EA
				10144071				10144071	EFL (OF) 12W_ROV_P /3x4W_ROV_R+12W_ROV_R	DepReq	PurRqs	           17580930	                  10	-2	              2	13.04.2023		10.05.2023	10.05.2023	P02	            10458371		BC5	EA
				10178728				10178728	HANDLE, ROV OP. CABLE HARNESS	DepReq	PurRqs	           17580924	                  10	-2	              2	13.04.2023		10.05.2023	10.05.2023	P02	            10458371		BC4	EA
				10002954				10002954	SCREW HEX, M24X50, L7, El-Zn	DepReq	PurRqs	           17581055	                  10	-2	              2	05.04.2023		10.05.2023	10.05.2023	P02	            10458371		BC5	EA	             10

			10172966					10172966	REACTION PLATE HCM-XMT 12"  ASSEMBLY	DepReq	PurRqs	           16929309	                  10	-1	              2	26.09.2022		19.04.2023	26.05.2023	P02	            10457936		BC8	EA
			10178779					10178779	ROV OP. CABLE HARNESS	DepReq	PldOrd	          112501517		-1	              2	10.04.2023	10.05.2023	26.05.2023	26.05.2023	P02	            10457936	           10	BC5	EA	             30

				10178757				10178757	BRACKET WITH ANODE, ROVOP. CABLE HARNESS	DepReq	PurRqs	           17580928	                  10	-2	              2	13.04.2023		10.05.2023	10.05.2023	P02	            10458371		BC5	EA
				10144071				10144071	EFL (OF) 12W_ROV_P /3x4W_ROV_R+12W_ROV_R	DepReq	PurRqs	           17580930	                  10	-2	              2	13.04.2023		10.05.2023	10.05.2023	P02	            10458371		BC5	EA
				10178728				10178728	HANDLE, ROV OP. CABLE HARNESS	DepReq	PurRqs	           17580924	                  10	-2	              2	13.04.2023		10.05.2023	10.05.2023	P02	            10458371		BC4	EA
				10002954				10002954	SCREW HEX, M24X50, L7, El-Zn	DepReq	PurRqs	           17581055	                  10	-2	              2	05.04.2023		10.05.2023	10.05.2023	P02	            10458371		BC5	EA	             10

			10360103					10360103	BLOCK, MEG INJECTION, ASSEMBLY	DepReq	PldOrd	          112501525		-1	              1	10.04.2023	10.05.2023	26.05.2023	26.05.2023	Y01	            10457936	           10		EA	             13

				10360102				10360102	MEG BLOCK, CRITICAL BOLTS ASSEMBLY	DepReq	PldOrd	          112501545		-1	              1	05.04.2023	08.05.2023	10.05.2023	10.05.2023	A23	            10458693		Y01	EA	             15

					10223038			10223038	MEG INJECTION BLOCK, F22, F/M	DepReq	PldOrd	          112501575		-1	              1	18.01.2023	15.02.2023	08.05.2023	08.05.2023	P02	            10458812	           50		EA

						10223036		10223036	MEG INJECTION BLOCK, F22, PRE-CLAD	DepReq	POitem	         4501724898	                  50	-1	              2			18.11.2022	15.02.2023	F01	            10459741		BC2	EA	            180

					10136619			10136619	STUD TE, 1-1/4 -8UNR x 145mm, L7	DepReq	PurRqs	           17564431	                  10	-16	             64	26.10.2022		19.04.2023	08.05.2023	P02	            10458812		BC5	EA
					10136618			10136618	NUT HVY HEX, 1-1/4- 8UN, 7	DepReq	PurRqs	           17564574	                  10	-16	            160	24.10.2022		15.05.2023	08.05.2023	P01	            10458812		BC5	EA	            176
					10091231			10091231	STUD TE, 3/4-10UNRC x 100mm, L7M	DepReq	PurRqs	           17514013	                  10	-24	             48	26.10.2022		19.04.2023	08.05.2023	P02	            10458812		BC5	EA	            232
					BB17-MX0364-00			BB17-MX0364-00	NUT HVY HEX, 3/4-10UNC, 7M	DepReq	PurRqs	           17514096	                  10	-24	             48	26.10.2022		19.04.2023	08.05.2023	P02	            10458812		BC5	EA	            216

				10131265				10131265	VALVE KIT, MS200, 2"-10K, 3000M, 725	DepReq	PldOrd	          112501594		-2	              4	28.04.2023	08.05.2023	10.05.2023	10.05.2023	Y01	            10458693	            2		EA	             84

					10131262			10131262	ACTUATOR, 2"-10K, 3000M, 725, ASSY	DepReq	ShpgNt	         4501727841	                  60	-4	             14			24.01.2023	08.05.2023	P02	            10460269		BC1	EA	            150
					10294587			10294587	VALVE COMP KIT, MS200, 2"-10K, 725	DepReq	PldOrd	          112501602		-4	              4	01.02.2023	04.05.2023	08.05.2023	08.05.2023	C03	            10460269		BC5	EA	            470

						10014964		10014964	SEAL, BXTYPE, 108,59x122,40x9,40, NI825	DepReq	PurRqs	           17362624	                  10	-4	             16	30.09.2022		07.03.2023	04.05.2023	M01	            10460280		M25	EA	            128
						10130481		10130481	GATE, MS200, 2-1/16", 10K, 725, F/M	DepReq	ShpgNt	         4501727841	                  20	-4	             14			24.01.2023	04.05.2023	V01	            10460280		BC1	EA	            150
						10131264		10131264	SEAT, MS200, 2-1/16",10K, 725,ASSY & F/M	DepReq	ShpgNt	         4501727841	                  30	-8	             28			24.01.2023	04.05.2023	V01	            10460280		BC1	EA	            150
						10110798		10110798	SPRING, SPIRAWAVE, F/ 2", ELGILOY	DepReq	PurRqs	           17430364	                  10	-8	             28	26.10.2022		19.04.2023	04.05.2023	C02	            10460280		BC0	EA	            218
						10357375		10357375	RADIAL SEAL, SEAT, 2-1/16"-10K, 725	DepReq	PurRqs	           17569819	                  10	-8	             12	26.10.2022		19.04.2023	04.05.2023	P02	            10460280		BC5	EA

				10136642				10136642	OVERRIDE EXT ADAPTER, 2-1/16",534MM, F/M	DepReq	PurRqs	           16171191	                  10	-2	             14	15.07.2022		14.02.2023	10.05.2023	P02	            10458693		BC3	EA	            189
				10136643				10136643	OVERRIDE STEM EXT. , 2-1/16" ACTUATOR	DepReq	PurRqs	           16159711	                  60	-2	             14	14.06.2022		19.12.2022	10.05.2023	P02	            10458693		BC3	EA
				10085331				10085331	SCREW SET, CONE, M8 x 8, A4-80	DepReq	PurRqs	           17433163	                  10	-8	             56	06.10.2022		26.04.2023	10.05.2023	P01	            10458693		BC5	EA	            176
				10080174				10080174	OVERRIDE STEM GUIDE, 31,75MM, F/M	DepReq	POitem	         4501733258	                  30	-2	             14			02.01.2023	10.05.2023	U01	            10458693		BC3	EA	            150
				10094478				10094478	WIPER-I, 32,75X40,45X6,49, PEEK	DepReq	PurRqs	           17426459	                  10	-2	             14	26.10.2022		19.04.2023	10.05.2023	C03	            10458693		BC1	EA	            160
				10104971				10104971	NAMEPLATE, ACTUATOR	DepReq	PurRqs	           17428308	                  10	-2	             18	03.11.2022		18.04.2023	10.05.2023	C01	            10458693		BC5	EA	            140
				BB7178042				BB7178042	NAIL, EASY-DRIVE, .116 DIA X 1/4 LG, #4,	DepReq	PurRqs	           17426586	                  10	-4	             36	03.11.2022		18.04.2023	10.05.2023	C03	            10458693		BC5	EA	            140
				10093524				10093524	SCREW HEX, M12 x 45, L7	DepReq	PurRqs	           17430271	                  10	-16	            112	13.10.2022		18.04.2023	10.05.2023	P01	            10458693		BC5	EA	            160

			10002998					10002998	WASHER FLAT, M24, ISO 7089, STEEL	DepReq	PurRqs	           17523555	                  10	-8	             16	26.10.2022		19.04.2023	26.05.2023	V01	            10457936		BC5	EA	            180
			10177788					10177788	LOWER HUB, FLOWLOOPS PROD-XMT WELDED	DepReq	POitem	         4501732887	                  20	-1	              2			12.05.2023	26.05.2023	P02	            10457936		BC8	EA	            150

				10097490				10097490	HUB FCM LOWER 12"-2x5"+2x2"+4HC28	SubReq	ShpgNt	         4501742618	                  40	-2	              2			14.02.2023	03.04.2023	P02	             9200974		BC8	EA	             60
				10202092				10202092	ELBOW 45°, 6" SCH XXS, SR, ASME B16.19	SubReq	POitem	         4501729930	                  20	-4	              4			30.11.2022	08.02.2023	P02	             9200974		BC4	EA	            150
				10011442				10011442	PIPE, 6" SCH XXS, SMLS, ASME B36.10M	SubReq	PurRqs	           17124992	                  10	-0,746	          9,352	01.08.2025		05.01.2026	08.02.2023	F01	             9200974		BC4	M	            303
				10011678				10011678	FLANGE, 5 1/8", API, 6" SCH XXS, 10K	SubReq	POitem	         4501731330	                  30	-2	              2			17.11.2022	08.02.2023	F01	             9200974	           30	BC2	EA	            194
				10019840				10019840	ELBOW 90°, 6" SCH XXS, LR, ASME B16.9	SubReq	POitem	         4501729930	                  30	-6	              6			30.11.2022	08.02.2023	F01	             9200974	           30	BC4	EA	            303
				10011442				10011442	PIPE, 6" SCH XXS, SMLS, ASME B36.10M	SubReq	PurRqs	           17124992	                  10	-0,830	          9,352	01.08.2025		05.01.2026	08.02.2023	F01	             9200974		BC4	M	            303
				10011442				10011442	PIPE, 6" SCH XXS, SMLS, ASME B36.10M	SubReq	PurRqs	           17124992	                  10	-0,559	          9,352	01.08.2025		05.01.2026	08.02.2023	F01	             9200974		BC4	M	            303
				10011442				10011442	PIPE, 6" SCH XXS, SMLS, ASME B36.10M	SubReq	PurRqs	           17124992	                  10	-1,217	          9,352	01.08.2025		05.01.2026	08.02.2023	F01	             9200974		BC4	M	            303
				10011483				10011483	PIPE, 2 1/2" SCH 160, SMLS, ASME B36.10M	SubReq	POitem	         4501729930	                  60	-0,551	             36			01.11.2022	08.02.2023	F01	             9200974		BC4	M	            303
				10096306				10096306	ELBOW 45°, 2 1/2" SCH 160, LR,ASME B16.9	SubReq	POitem	         4501729930	                  50	-8	             14			30.11.2022	08.02.2023	P02	             9200974		BC4	EA	            150
				10011483				10011483	PIPE, 2 1/2" SCH 160, SMLS, ASME B36.10M	SubReq	POitem	         4501729930	                  60	-1,910	             36			01.11.2022	08.02.2023	F01	             9200974		BC4	M	            303
				10019816				10019816	ELBOW 90°, 2 1/2" SCH 160, LR,ASME B16.9	SubReq	POitem	         4501729930	                  40	-6	             28			30.11.2022	08.02.2023	F01	             9200974		BC4	EA	            303
				10011483				10011483	PIPE, 2 1/2" SCH 160, SMLS, ASME B36.10M	SubReq	POitem	         4501729930	                  60	-3,322	             36			01.11.2022	08.02.2023	F01	             9200974		BC4	M	            303
				10011933				10011933	FLANGE, 2 1/16" API, 2 1/2" SCH 160, 10K	SubReq	POitem	         4501731330	                  40	-2	             14			17.11.2022	08.02.2023	F01	             9200974		BC2	EA	            194
