
Project							Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time
				10112749			10112749	PLUG MEDIUM PRESSURE 9/16" OD TUBE	DepReq	POitem	         4501741783	                  60	-2	             40			16.02.2023	11.07.2023	C02	            10457540		BC5	EA	            159
				10215236			10215236	MALE STR CONN TUB OD 3/8"x13/16"-16UNF-2	DepReq	PurRqs	           17332437	                  10	-2	             28	10.10.2022		25.04.2023	11.07.2023	C02	            10457540		BC5	EA	            169

			10360114				10360114	MACH, BODY INTERNAL CONNECTOR 5"	DepReq	PurRqs	           17556592	                  10	-1	              2	06.03.2023		27.07.2023	27.07.2023	Y01	            10456769	           10	BC8	EA	            120

				10097851			10097851	ROUND BAR 8" 17-4 PH 100K PSL3	SubReq	PurRqs	           17307027	                  10	-0,620	          3,720	26.09.2022		03.02.2023	06.03.2023	F01	            10458072		BC2	M	            180

			10360907				10360907	MACH, PISTON INTERNAL CONNECTOR	DepReq	PurRqs	           17556941	                  10	-1	              2	14.02.2023		27.07.2023	27.07.2023	P02	            10456769		BC8	EA	            135

				BBFJD001544			BBFJD001544	FORGED ROUND BAR DIA 3 1/2" G61500	SubReq	PurRqs	           17306508	                  10	-0,610	          3,660	26.09.2022		03.02.2023	14.02.2023	F01	            10458295		BC2	M	            150

			10132752				10132752	LOCKING DOG 5", INTERNAL CONNECTOR, MACH	DepReq	PurRqs	           17556647	                  10	-1	              2	06.03.2023		27.07.2023	27.07.2023	U01	            10456769		BC8	EA	            120

				10120300			10120300	ROUND BAR, 6", INCONEL 718 - 120K PSL3	SubReq	PurRqs	           17306391	                  10	-0,090	          0,540	26.09.2022		03.02.2023	06.03.2023	F01	            10458721		BC2	M	            180

			10362765				10362765	PISTON COVER	DepReq	PurRqs	           17556482	                  10	-1	              2	04.07.2023		27.07.2023	27.07.2023	P02	            10456769		BC5	EA

		10355108					10355108	ASSY, TEST CAP, PROD & ANNUL VCM	OrdRes	PldOrd	          112486856		-1	              1	20.07.2023	27.07.2023	17.09.2023	17.09.2023	A45	            10119547	           35	BC8	EA

			10360236				10360236	MACH/WELD, STRUCTURE	DepReq	PurRqs	           17556198	                  10	-1	              2	20.01.2023		27.07.2023	27.07.2023	P02	            10456774		BC4	EA	            165
			10360242				10360242	ROV PANEL, TEST CAP P/A CAP	DepReq	PurRqs	           17556274	                  10	-1	              2	20.01.2023		27.07.2023	27.07.2023	P02	            10456774		BC4	EA	            165
			10360240				10360240	TRANSPONDER SUPPORT	DepReq	PurRqs	           17555738	                  10	-1	              2	31.01.2023		27.07.2023	27.07.2023	P02	            10456774		BC5	EA	            150
			10362487				10362487	HYD DIAG, TEST CAP, PROD & ANNUL VCM	DepReq	PldOrd	          112487788		-1	              2	13.06.2023	11.07.2023	27.07.2023	27.07.2023	P02	            10456774	           10	BC5	EA

				10099565			10099565	MALE STR CONN TUB OD 3/8"x13/16"-16UN-2	DepReq	PurRqs	           17224586	                  10	-6	            218	14.09.2022		24.02.2023	11.07.2023	C02	            10457540		BC5	EA	            159
				10099564			10099564	MALE STR CONN TUB OD 3/8"x9/16"-18 UNF-2	DepReq	PurRqs	           17321979	                  10	-4	             88	26.09.2022		03.03.2023	11.07.2023	C02	            10457540		BC5	EA	            159
				10072741			10072741	MALE CONNECTOR OD 3/8" X 1/4" NPT	DepReq	POitem	         4501741675	                  30	-4	             79			24.02.2023	11.07.2023	C02	            10457540		BC0	EA	            159
				BBTUB180003			BBTUB180003	TUBING SS ASTM A269 TP 316L SL 3/8" OD	DepReq	POitem	         4501741654	                  30	-6	            108			03.05.2023	11.07.2023	P02	            10457540		BC0	M	            159
				10099715			10099715	TUBE OD 3/8" X WT 0,065" SAF 2507	DepReq	PurRqs	           17224701	                  10	-6	            259	26.09.2022		24.02.2023	11.07.2023	P02	            10457540		BC5	M	            159
				10110262			10110262	GLAND MEDIUM PRESSURE 9/16" OD TUBE	DepReq	POitem	         4501741783	                  50	-2	             40			16.02.2023	11.07.2023	C02	            10457540		BC5	EA	            159
				10112749			10112749	PLUG MEDIUM PRESSURE 9/16" OD TUBE	DepReq	POitem	         4501741783	                  60	-2	             40			16.02.2023	11.07.2023	C02	            10457540		BC5	EA	            159
				10215236			10215236	MALE STR CONN TUB OD 3/8"x13/16"-16UNF-2	DepReq	PurRqs	           17332437	                  10	-2	             28	10.10.2022		25.04.2023	11.07.2023	C02	            10457540		BC5	EA	            169

			10360114				10360114	MACH, BODY INTERNAL CONNECTOR 5"	DepReq	PurRqs	           17556592	                  10	-1	              2	06.03.2023		27.07.2023	27.07.2023	Y01	            10456774	           10	BC8	EA	            120

				10097851			10097851	ROUND BAR 8" 17-4 PH 100K PSL3	SubReq	PurRqs	           17307027	                  10	-0,620	          3,720	26.09.2022		03.02.2023	06.03.2023	F01	            10458072		BC2	M	            180

			10360907				10360907	MACH, PISTON INTERNAL CONNECTOR	DepReq	PurRqs	           17556941	                  10	-1	              2	14.02.2023		27.07.2023	27.07.2023	P02	            10456774		BC8	EA	            135

				BBFJD001544			BBFJD001544	FORGED ROUND BAR DIA 3 1/2" G61500	SubReq	PurRqs	           17306508	                  10	-0,610	          3,660	26.09.2022		03.02.2023	14.02.2023	F01	            10458295		BC2	M	            150

			10132752				10132752	LOCKING DOG 5", INTERNAL CONNECTOR, MACH	DepReq	PurRqs	           17556647	                  10	-1	              2	06.03.2023		27.07.2023	27.07.2023	U01	            10456774		BC8	EA	            120

				10120300			10120300	ROUND BAR, 6", INCONEL 718 - 120K PSL3	SubReq	PurRqs	           17306391	                  10	-0,090	          0,540	26.09.2022		03.02.2023	06.03.2023	F01	            10458721		BC2	M	            180

			10362765				10362765	PISTON COVER	DepReq	PurRqs	           17556482	                  10	-1	              2	04.07.2023		27.07.2023	27.07.2023	P02	            10456774		BC5	EA

		10355108					10355108	ASSY, TEST CAP, PROD & ANNUL VCM	OrdRes	PldOrd	          112486857		-1	              1	24.07.2023	31.07.2023	19.09.2023	19.09.2023	A45	            10119548	           35	BC8	EA

			10360236				10360236	MACH/WELD, STRUCTURE	DepReq	PurRqs	           17556199	                  10	-1	              1	20.01.2023		31.07.2023	31.07.2023	P02	            10456778		BC4	EA	            165
			10360242				10360242	ROV PANEL, TEST CAP P/A CAP	DepReq	PurRqs	           17556275	                  10	-1	              1	20.01.2023		31.07.2023	31.07.2023	P02	            10456778		BC4	EA	            165
			10360240				10360240	TRANSPONDER SUPPORT	DepReq	PurRqs	           17555739	                  10	-1	              1	01.02.2023		31.07.2023	31.07.2023	P02	            10456778		BC5	EA	            150
			10362487				10362487	HYD DIAG, TEST CAP, PROD & ANNUL VCM	DepReq	PldOrd	          112487789		-1	              1	15.06.2023	13.07.2023	31.07.2023	31.07.2023	P02	            10456778	           10	BC5	EA

				10099565			10099565	MALE STR CONN TUB OD 3/8"x13/16"-16UN-2	DepReq	PurRqs	           17224586	                  10	-3	            218	14.09.2022		24.02.2023	13.07.2023	C02	            10457541		BC5	EA	            159
				10099564			10099564	MALE STR CONN TUB OD 3/8"x9/16"-18 UNF-2	DepReq	PurRqs	           17321979	                  10	-2	             88	26.09.2022		03.03.2023	13.07.2023	C02	            10457541		BC5	EA	            159
				10072741			10072741	MALE CONNECTOR OD 3/8" X 1/4" NPT	DepReq	POitem	         4501741675	                  30	-2	             79			24.02.2023	13.07.2023	C02	            10457541		BC0	EA	            159
				BBTUB180003			BBTUB180003	TUBING SS ASTM A269 TP 316L SL 3/8" OD	DepReq	POitem	         4501741654	                  30	-3	            108			03.05.2023	13.07.2023	P02	            10457541		BC0	M	            159
				10099715			10099715	TUBE OD 3/8" X WT 0,065" SAF 2507	DepReq	PurRqs	           17224701	                  10	-3	            259	26.09.2022		24.02.2023	13.07.2023	P02	            10457541		BC5	M	            159
				10110262			10110262	GLAND MEDIUM PRESSURE 9/16" OD TUBE	DepReq	POitem	         4501741783	                  50	-1	             40			16.02.2023	13.07.2023	C02	            10457541		BC5	EA	            159
				10112749			10112749	PLUG MEDIUM PRESSURE 9/16" OD TUBE	DepReq	POitem	         4501741783	                  60	-1	             40			16.02.2023	13.07.2023	C02	            10457541		BC5	EA	            159
				10215236			10215236	MALE STR CONN TUB OD 3/8"x13/16"-16UNF-2	DepReq	PurRqs	           17332437	                  10	-1	             28	10.10.2022		25.04.2023	13.07.2023	C02	            10457541		BC5	EA	            169

			10360114				10360114	MACH, BODY INTERNAL CONNECTOR 5"	DepReq	PurRqs	           17556593	                  10	-1	              1	08.03.2023		31.07.2023	31.07.2023	Y01	            10456778	           10	BC8	EA	            120

				10097851			10097851	ROUND BAR 8" 17-4 PH 100K PSL3	SubReq	POitem	         4501740737	                  30	-0,310	          1,860			15.02.2023	08.03.2023	F01	            10458073		BC2	M	            180

			10360907				10360907	MACH, PISTON INTERNAL CONNECTOR	DepReq	PurRqs	           17556942	                  10	-1	              1	16.02.2023		31.07.2023	31.07.2023	P02	            10456778		BC8	EA	            135

				BBFJD001544			BBFJD001544	FORGED ROUND BAR DIA 3 1/2" G61500	SubReq	POitem	         4501742214	                  20	-0,305	          1,800			04.01.2024	16.02.2023	F01	            10458294		BC2	M	            150

			10132752				10132752	LOCKING DOG 5", INTERNAL CONNECTOR, MACH	DepReq	PurRqs	           17556648	                  10	-1	              1	08.03.2023		31.07.2023	31.07.2023	U01	            10456778		BC8	EA	            120

				10120300			10120300	ROUND BAR, 6", INCONEL 718 - 120K PSL3	SubReq	POitem	         4501740737	                  40	-0,045	          0,270			15.02.2023	08.03.2023	F01	            10458722		BC2	M	            180

			10362765				10362765	PISTON COVER	DepReq	PurRqs	           17556483	                  10	-1	              1	06.07.2023		31.07.2023	31.07.2023	P02	            10456778		BC5	EA

		10355108					10355108	ASSY, TEST CAP, PROD & ANNUL VCM	OrdRes	PldOrd	          112486858		-1	              1	26.07.2023	02.08.2023	21.09.2023	21.09.2023	A45	            10119549	           35	BC8	EA

			10360236				10360236	MACH/WELD, STRUCTURE	DepReq	PurRqs	           17556200	                  10	-1	              1	26.01.2023		02.08.2023	02.08.2023	P02	            10456783		BC4	EA	            165
			10360242				10360242	ROV PANEL, TEST CAP P/A CAP	DepReq	PurRqs	           17556276	                  10	-1	              1	26.01.2023		02.08.2023	02.08.2023	P02	            10456783		BC4	EA	            165
			10360240				10360240	TRANSPONDER SUPPORT	DepReq	PurRqs	           17555740	                  10	-1	              1	07.02.2023		02.08.2023	02.08.2023	P02	            10456783		BC5	EA	            150
			10362487				10362487	HYD DIAG, TEST CAP, PROD & ANNUL VCM	DepReq	PldOrd	          112487790		-1	              1	19.06.2023	17.07.2023	02.08.2023	02.08.2023	P02	            10456783	           10	BC5	EA

				10099565			10099565	MALE STR CONN TUB OD 3/8"x13/16"-16UN-2	DepReq	PurRqs	           17224586	                  10	-3	            218	14.09.2022		24.02.2023	17.07.2023	C02	            10457537		BC5	EA	            159
				10099564			10099564	MALE STR CONN TUB OD 3/8"x9/16"-18 UNF-2	DepReq	PurRqs	           17321979	                  10	-2	             88	26.09.2022		03.03.2023	17.07.2023	C02	            10457537		BC5	EA	            159
				10072741			10072741	MALE CONNECTOR OD 3/8" X 1/4" NPT	DepReq	POitem	         4501741675	                  30	-2	             79			24.02.2023	17.07.2023	C02	            10457537		BC0	EA	            159
				BBTUB180003			BBTUB180003	TUBING SS ASTM A269 TP 316L SL 3/8" OD	DepReq	POitem	         4501741654	                  30	-3	            108			03.05.2023	17.07.2023	P02	            10457537		BC0	M	            159
				10099715			10099715	TUBE OD 3/8" X WT 0,065" SAF 2507	DepReq	PurRqs	           17224701	                  10	-3	            259	26.09.2022		24.02.2023	17.07.2023	P02	            10457537		BC5	M	            159
				10110262			10110262	GLAND MEDIUM PRESSURE 9/16" OD TUBE	DepReq	POitem	         4501741783	                  50	-1	             40			16.02.2023	17.07.2023	C02	            10457537		BC5	EA	            159
				10112749			10112749	PLUG MEDIUM PRESSURE 9/16" OD TUBE	DepReq	POitem	         4501741783	                  60	-1	             40			16.02.2023	17.07.2023	C02	            10457537		BC5	EA	            159
				10215236			10215236	MALE STR CONN TUB OD 3/8"x13/16"-16UNF-2	DepReq	PurRqs	           17332437	                  10	-1	             28	10.10.2022		25.04.2023	17.07.2023	C02	            10457537		BC5	EA	            169

			10360114				10360114	MACH, BODY INTERNAL CONNECTOR 5"	DepReq	PurRqs	           17556594	                  10	-1	              1	10.03.2023		02.08.2023	02.08.2023	Y01	            10456783	           10	BC8	EA	            120

				10097851			10097851	ROUND BAR 8" 17-4 PH 100K PSL3	SubReq	POitem	         4501740737	                  30	-0,310	          1,860			15.02.2023	10.03.2023	F01	            10458074		BC2	M	            180

			10360907				10360907	MACH, PISTON INTERNAL CONNECTOR	DepReq	PurRqs	           17556943	                  10	-1	              1	24.02.2023		02.08.2023	02.08.2023	P02	            10456783		BC8	EA	            135

				BBFJD001544			BBFJD001544	FORGED ROUND BAR DIA 3 1/2" G61500	SubReq	POitem	         4501742214	                  20	-0,305	          1,800			04.01.2024	24.02.2023	F01	            10458293		BC2	M	            150

			10132752				10132752	LOCKING DOG 5", INTERNAL CONNECTOR, MACH	DepReq	PurRqs	           17556649	                  10	-1	              1	10.03.2023		02.08.2023	02.08.2023	U01	            10456783		BC8	EA	            120

				10120300			10120300	ROUND BAR, 6", INCONEL 718 - 120K PSL3	SubReq	POitem	         4501740737	                  40	-0,045	          0,270			15.02.2023	10.03.2023	F01	            10458723		BC2	M	            180

			10362765				10362765	PISTON COVER	DepReq	PurRqs	           17556484	                  10	-1	              1	10.07.2023		02.08.2023	02.08.2023	P02	            10456783		BC5	EA

		10355108					10355108	ASSY, TEST CAP, PROD & ANNUL VCM	OrdRes	PldOrd	          112486859		-1	              1	27.07.2023	03.08.2023	23.09.2023	23.09.2023	A45	            10119550	           35	BC8	EA

			10360236				10360236	MACH/WELD, STRUCTURE	DepReq	PurRqs	           17556201	                  10	-1	              1	26.01.2023		03.08.2023	03.08.2023	P02	            10456776		BC4	EA	            165
			10360242				10360242	ROV PANEL, TEST CAP P/A CAP	DepReq	PurRqs	           17556277	                  10	-1	              1	26.01.2023		03.08.2023	03.08.2023	P02	            10456776		BC4	EA	            165
			10360240				10360240	TRANSPONDER SUPPORT	DepReq	PurRqs	           17555741	                  10	-1	              1	07.02.2023		03.08.2023	03.08.2023	P02	            10456776		BC5	EA	            150
			10362487				10362487	HYD DIAG, TEST CAP, PROD & ANNUL VCM	DepReq	PldOrd	          112487791		-1	              1	20.06.2023	18.07.2023	03.08.2023	03.08.2023	P02	            10456776	           10	BC5	EA

				10099565			10099565	MALE STR CONN TUB OD 3/8"x13/16"-16UN-2	DepReq	PurRqs	           17224586	                  10	-3	            218	14.09.2022		24.02.2023	18.07.2023	C02	            10457538		BC5	EA	            159
				10099564			10099564	MALE STR CONN TUB OD 3/8"x9/16"-18 UNF-2	DepReq	PurRqs	           17321979	                  10	-2	             88	26.09.2022		03.03.2023	18.07.2023	C02	            10457538		BC5	EA	            159
				10072741			10072741	MALE CONNECTOR OD 3/8" X 1/4" NPT	DepReq	POitem	         4501741675	                  30	-2	             79			24.02.2023	18.07.2023	C02	            10457538		BC0	EA	            159
				BBTUB180003			BBTUB180003	TUBING SS ASTM A269 TP 316L SL 3/8" OD	DepReq	POitem	         4501741654	                  30	-3	            108			03.05.2023	18.07.2023	P02	            10457538		BC0	M	            159
				10099715			10099715	TUBE OD 3/8" X WT 0,065" SAF 2507	DepReq	PurRqs	           17224701	                  10	-3	            259	26.09.2022		24.02.2023	18.07.2023	P02	            10457538		BC5	M	            159
				10110262			10110262	GLAND MEDIUM PRESSURE 9/16" OD TUBE	DepReq	POitem	         4501741783	                  50	-1	             40			16.02.2023	18.07.2023	C02	            10457538		BC5	EA	            159
				10112749			10112749	PLUG MEDIUM PRESSURE 9/16" OD TUBE	DepReq	POitem	         4501741783	                  60	-1	             40			16.02.2023	18.07.2023	C02	            10457538		BC5	EA	            159
				10215236			10215236	MALE STR CONN TUB OD 3/8"x13/16"-16UNF-2	DepReq	PurRqs	           17332437	                  10	-1	             28	10.10.2022		25.04.2023	18.07.2023	C02	            10457538		BC5	EA	            169

			10360114				10360114	MACH, BODY INTERNAL CONNECTOR 5"	DepReq	PurRqs	           17556595	                  10	-1	              1	13.03.2023		03.08.2023	03.08.2023	Y01	            10456776	           10	BC8	EA	            120

				10097851			10097851	ROUND BAR 8" 17-4 PH 100K PSL3	SubReq	POitem	         4501740737	                  30	-0,310	          1,860			15.02.2023	13.03.2023	F01	            10458075		BC2	M	            180

			10360907				10360907	MACH, PISTON INTERNAL CONNECTOR	DepReq	PurRqs	           17556944	                  10	-1	              1	24.02.2023		03.08.2023	03.08.2023	P02	            10456776		BC8	EA	            135

				BBFJD001544			BBFJD001544	FORGED ROUND BAR DIA 3 1/2" G61500	SubReq	POitem	         4501742214	                  20	-0,305	          1,800			04.01.2024	24.02.2023	F01	            10458292		BC2	M	            150

			10132752				10132752	LOCKING DOG 5", INTERNAL CONNECTOR, MACH	DepReq	PurRqs	           17556650	                  10	-1	              1	13.03.2023		03.08.2023	03.08.2023	U01	            10456776		BC8	EA	            120

				10120300			10120300	ROUND BAR, 6", INCONEL 718 - 120K PSL3	SubReq	POitem	         4501740737	                  40	-0,045	          0,270			15.02.2023	13.03.2023	F01	            10458724		BC2	M	            180

			10362765				10362765	PISTON COVER	DepReq	PurRqs	           17556485	                  10	-1	              1	11.07.2023		03.08.2023	03.08.2023	P02	            10456776		BC5	EA

		10355108					10355108	ASSY, TEST CAP, PROD & ANNUL VCM	OrdRes	PldOrd	          112486860		-1	              1	28.07.2023	04.08.2023	25.09.2023	25.09.2023	A45	            10119551	           35	BC8	EA

			10360236				10360236	MACH/WELD, STRUCTURE	DepReq	PurRqs	           17556202	                  10	-1	              1	26.01.2023		04.08.2023	04.08.2023	P02	            10456784		BC4	EA	            165
			10360242				10360242	ROV PANEL, TEST CAP P/A CAP	DepReq	PurRqs	           17556278	                  10	-1	              1	26.01.2023		04.08.2023	04.08.2023	P02	            10456784		BC4	EA	            165
			10360240				10360240	TRANSPONDER SUPPORT	DepReq	PurRqs	           17555742	                  10	-1	              1	07.02.2023		04.08.2023	04.08.2023	P02	            10456784		BC5	EA	            150
			10362487				10362487	HYD DIAG, TEST CAP, PROD & ANNUL VCM	DepReq	PldOrd	          112487792		-1	              1	21.06.2023	19.07.2023	04.08.2023	04.08.2023	P02	            10456784	           10	BC5	EA

				10099565			10099565	MALE STR CONN TUB OD 3/8"x13/16"-16UN-2	DepReq	PurRqs	           17224586	                  10	-3	            218	14.09.2022		24.02.2023	19.07.2023	C02	            10457545		BC5	EA	            159
				10099564			10099564	MALE STR CONN TUB OD 3/8"x9/16"-18 UNF-2	DepReq	PurRqs	           17321979	                  10	-2	             88	26.09.2022		03.03.2023	19.07.2023	C02	            10457545		BC5	EA	            159
				10072741			10072741	MALE CONNECTOR OD 3/8" X 1/4" NPT	DepReq	POitem	         4501741675	                  30	-2	             79			24.02.2023	19.07.2023	C02	            10457545		BC0	EA	            159
				BBTUB180003			BBTUB180003	TUBING SS ASTM A269 TP 316L SL 3/8" OD	DepReq	POitem	         4501741654	                  30	-3	            108			03.05.2023	19.07.2023	P02	            10457545		BC0	M	            159
				10099715			10099715	TUBE OD 3/8" X WT 0,065" SAF 2507	DepReq	PurRqs	           17224701	                  10	-3	            259	26.09.2022		24.02.2023	19.07.2023	P02	            10457545		BC5	M	            159
				10110262			10110262	GLAND MEDIUM PRESSURE 9/16" OD TUBE	DepReq	POitem	         4501741783	                  50	-1	             40			16.02.2023	19.07.2023	C02	            10457545		BC5	EA	            159
				10112749			10112749	PLUG MEDIUM PRESSURE 9/16" OD TUBE	DepReq	POitem	         4501741783	                  60	-1	             40			16.02.2023	19.07.2023	C02	            10457545		BC5	EA	            159
				10215236			10215236	MALE STR CONN TUB OD 3/8"x13/16"-16UNF-2	DepReq	PurRqs	           17332437	                  10	-1	             28	10.10.2022		25.04.2023	19.07.2023	C02	            10457545		BC5	EA	            169

			10360114				10360114	MACH, BODY INTERNAL CONNECTOR 5"	DepReq	PurRqs	           17556596	                  10	-1	              1	14.03.2023		04.08.2023	04.08.2023	Y01	            10456784	           10	BC8	EA	            120

				10097851			10097851	ROUND BAR 8" 17-4 PH 100K PSL3	SubReq	POitem	         4501740737	                  30	-0,310	          1,860			15.02.2023	14.03.2023	F01	            10458076		BC2	M	            180

			10360907				10360907	MACH, PISTON INTERNAL CONNECTOR	DepReq	PurRqs	           17556945	                  10	-1	              1	27.02.2023		04.08.2023	04.08.2023	P02	            10456784		BC8	EA	            135

				BBFJD001544			BBFJD001544	FORGED ROUND BAR DIA 3 1/2" G61500	SubReq	POitem	         4501742214	                  20	-0,305	          1,800			04.01.2024	27.02.2023	F01	            10458291		BC2	M	            150

			10132752				10132752	LOCKING DOG 5", INTERNAL CONNECTOR, MACH	DepReq	PurRqs	           17556651	                  10	-1	              1	14.03.2023		04.08.2023	04.08.2023	U01	            10456784		BC8	EA	            120

				10120300			10120300	ROUND BAR, 6", INCONEL 718 - 120K PSL3	SubReq	POitem	         4501740737	                  40	-0,045	          0,270			15.02.2023	14.03.2023	F01	            10458725		BC2	M	            180

			10362765				10362765	PISTON COVER	DepReq	PurRqs	           17556486	                  10	-1	              1	12.07.2023		04.08.2023	04.08.2023	P02	            10456784		BC5	EA

		10355108					10355108	ASSY, TEST CAP, PROD & ANNUL VCM	OrdRes	PldOrd	          112486861		-1	              1	01.08.2023	08.08.2023	27.09.2023	27.09.2023	A45	            10119552	           35	BC8	EA

			10360236				10360236	MACH/WELD, STRUCTURE	DepReq	PurRqs	           17556203	                  10	-1	              1	26.01.2023		08.08.2023	08.08.2023	P02	            10456782		BC4	EA	            165
			10360242				10360242	ROV PANEL, TEST CAP P/A CAP	DepReq	PurRqs	           17556279	                  10	-1	              1	26.01.2023		08.08.2023	08.08.2023	P02	            10456782		BC4	EA	            165
			10360240				10360240	TRANSPONDER SUPPORT	DepReq	PurRqs	           17555743	                  10	-1	              1	09.02.2023		08.08.2023	08.08.2023	P02	            10456782		BC5	EA	            150
			10362487				10362487	HYD DIAG, TEST CAP, PROD & ANNUL VCM	DepReq	PldOrd	          112487793		-1	              1	23.06.2023	21.07.2023	08.08.2023	08.08.2023	P02	            10456782	           10	BC5	EA

				10099565			10099565	MALE STR CONN TUB OD 3/8"x13/16"-16UN-2	DepReq	PurRqs	           17224586	                  10	-3	            218	14.09.2022		24.02.2023	21.07.2023	C02	            10457550		BC5	EA	            159
				10099564			10099564	MALE STR CONN TUB OD 3/8"x9/16"-18 UNF-2	DepReq	PurRqs	           17321979	                  10	-2	             88	26.09.2022		03.03.2023	21.07.2023	C02	            10457550		BC5	EA	            159
				10072741			10072741	MALE CONNECTOR OD 3/8" X 1/4" NPT	DepReq	POitem	         4501741675	                  30	-2	             79			24.02.2023	21.07.2023	C02	            10457550		BC0	EA	            159
				BBTUB180003			BBTUB180003	TUBING SS ASTM A269 TP 316L SL 3/8" OD	DepReq	POitem	         4501741654	                  30	-3	            108			03.05.2023	21.07.2023	P02	            10457550		BC0	M	            159
				10099715			10099715	TUBE OD 3/8" X WT 0,065" SAF 2507	DepReq	PurRqs	           17224701	                  10	-3	            259	26.09.2022		24.02.2023	21.07.2023	P02	            10457550		BC5	M	            159
				10110262			10110262	GLAND MEDIUM PRESSURE 9/16" OD TUBE	DepReq	POitem	         4501741783	                  50	-1	             40			16.02.2023	21.07.2023	C02	            10457550		BC5	EA	            159
				10112749			10112749	PLUG MEDIUM PRESSURE 9/16" OD TUBE	DepReq	POitem	         4501741783	                  60	-1	             40			16.02.2023	21.07.2023	C02	            10457550		BC5	EA	            159
				10215236			10215236	MALE STR CONN TUB OD 3/8"x13/16"-16UNF-2	DepReq	PurRqs	           17332437	                  10	-1	             28	10.10.2022		25.04.2023	21.07.2023	C02	            10457550		BC5	EA	            169

			10360114				10360114	MACH, BODY INTERNAL CONNECTOR 5"	DepReq	PurRqs	           17556597	                  10	-1	              1	16.03.2023		08.08.2023	08.08.2023	Y01	            10456782	           10	BC8	EA	            120

				10097851			10097851	ROUND BAR 8" 17-4 PH 100K PSL3	SubReq	POitem	         4501740737	                  30	-0,310	          1,860			15.02.2023	16.03.2023	F01	            10458077		BC2	M	            180

			10360907				10360907	MACH, PISTON INTERNAL CONNECTOR	DepReq	PurRqs	           17556946	                  10	-1	              1	01.03.2023		08.08.2023	08.08.2023	P02	            10456782		BC8	EA	            135

				BBFJD001544			BBFJD001544	FORGED ROUND BAR DIA 3 1/2" G61500	SubReq	POitem	         4501742214	                  20	-0,305	          1,800			04.01.2024	01.03.2023	F01	            10458290		BC2	M	            150

			10132752				10132752	LOCKING DOG 5", INTERNAL CONNECTOR, MACH	DepReq	PurRqs	           17556652	                  10	-1	              1	16.03.2023		08.08.2023	08.08.2023	U01	            10456782		BC8	EA	            120

				10120300			10120300	ROUND BAR, 6", INCONEL 718 - 120K PSL3	SubReq	POitem	         4501740737	                  40	-0,045	          0,270			15.02.2023	16.03.2023	F01	            10458726		BC2	M	            180

			10362765				10362765	PISTON COVER	DepReq	PurRqs	           17556487	                  10	-1	              1	14.07.2023		08.08.2023	08.08.2023	P02	            10456782		BC5	EA

		10355108					10355108	ASSY, TEST CAP, PROD & ANNUL VCM	OrdRes	PldOrd	          112486862		-1	              1	03.08.2023	10.08.2023	29.09.2023	29.09.2023	A45	            10119553	           35	BC8	EA

			10360236				10360236	MACH/WELD, STRUCTURE	DepReq	PurRqs	           17556204	                  10	-1	              1	31.01.2023		10.08.2023	10.08.2023	P02	            10456775		BC4	EA	            165
			10360242				10360242	ROV PANEL, TEST CAP P/A CAP	DepReq	PurRqs	           17556280	                  10	-1	              1	31.01.2023		10.08.2023	10.08.2023	P02	            10456775		BC4	EA	            165
			10360240				10360240	TRANSPONDER SUPPORT	DepReq	PurRqs	           17555744	                  10	-1	              1	14.02.2023		10.08.2023	10.08.2023	P02	            10456775		BC5	EA	            150
			10362487				10362487	HYD DIAG, TEST CAP, PROD & ANNUL VCM	DepReq	PldOrd	          112487794		-1	              1	27.06.2023	25.07.2023	10.08.2023	10.08.2023	P02	            10456775	           10	BC5	EA

				10099565			10099565	MALE STR CONN TUB OD 3/8"x13/16"-16UN-2	DepReq	PurRqs	           17224586	                  10	-3	            218	14.09.2022		24.02.2023	25.07.2023	C02	            10457547		BC5	EA	            159
				10099564			10099564	MALE STR CONN TUB OD 3/8"x9/16"-18 UNF-2	DepReq	PurRqs	           17321979	                  10	-2	             88	26.09.2022		03.03.2023	25.07.2023	C02	            10457547		BC5	EA	            159
				10072741			10072741	MALE CONNECTOR OD 3/8" X 1/4" NPT	DepReq	POitem	         4501741675	                  30	-2	             79			24.02.2023	25.07.2023	C02	            10457547		BC0	EA	            159
				BBTUB180003			BBTUB180003	TUBING SS ASTM A269 TP 316L SL 3/8" OD	DepReq	POitem	         4501741654	                  30	-3	            108			03.05.2023	25.07.2023	P02	            10457547		BC0	M	            159
				10099715			10099715	TUBE OD 3/8" X WT 0,065" SAF 2507	DepReq	PurRqs	           17224701	                  10	-3	            259	26.09.2022		24.02.2023	25.07.2023	P02	            10457547		BC5	M	            159
				10110262			10110262	GLAND MEDIUM PRESSURE 9/16" OD TUBE	DepReq	POitem	         4501741783	                  50	-1	             40			16.02.2023	25.07.2023	C02	            10457547		BC5	EA	            159
